epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,122.148,0.79071,0.85853,0.99159,0.92725,0.94504,0.95989,0.75285,0.81728,0.57557,0.97197,0.000379431,0.000379431,0.000379431
57,124.363,0.76437,0.8147,0.97911,0.92349,0.94818,0.95999,0.74167,0.8927,0.58107,1.0024,0.000371185,0.000371185,0.000371185
58,126.597,0.83179,0.84473,0.98709,0.91251,0.97575,0.96337,0.73886,0.88228,0.58512,1.00212,0.000362938,0.000362938,0.000362938
59,128.79,0.78674,0.81302,0.98076,0.92688,0.9689,0.96126,0.74983,0.8776,0.59852,0.99903,0.000354691,0.000354691,0.000354691
60,131.041,0.7459,0.76823,0.96526,0.9274,0.96425,0.95679,0.75409,0.84526,0.58147,0.97522,0.000346445,0.000346445,0.000346445
61,133.28,0.75528,0.74835,0.96694,0.93086,0.95915,0.95691,0.74789,0.88273,0.59239,0.98009,0.000338198,0.000338198,0.000338198
62,135.527,0.78374,0.80264,0.97958,0.94617,0.95478,0.95266,0.74625,0.84075,0.574,0.96174,0.000329951,0.000329951,0.000329951
63,137.804,0.75918,0.78272,0.98523,0.90401,0.97566,0.97213,0.73324,0.9122,0.58702,0.98931,0.000321705,0.000321705,0.000321705
64,140.035,0.77227,0.75297,0.95857,0.92321,0.94723,0.95922,0.72454,0.92529,0.58957,1.00032,0.000313458,0.000313458,0.000313458
65,142.346,0.78785,0.76374,0.98457,0.92137,0.94871,0.95154,0.74455,0.83583,0.57822,0.96777,0.000305211,0.000305211,0.000305211
66,144.585,0.70508,0.70355,0.94404,0.93311,0.95329,0.96577,0.74748,0.87939,0.57333,0.99437,0.000296964,0.000296964,0.000296964
67,146.781,0.77305,0.75814,0.96336,0.94222,0.94561,0.97028,0.75572,0.8535,0.55597,0.98572,0.000288718,0.000288718,0.000288718
68,149.109,0.8171,0.78146,1.01964,0.94325,0.94674,0.96034,0.76718,0.80139,0.55052,0.96403,0.000280471,0.000280471,0.000280471
69,151.336,0.74338,0.76344,0.95887,0.94315,0.95463,0.96399,0.75941,0.82928,0.56429,0.97644,0.000272224,0.000272224,0.000272224
70,153.543,0.73969,0.71957,0.95082,0.93256,0.96594,0.97342,0.76779,0.83035,0.57554,0.97459,0.000263978,0.000263978,0.000263978
71,154.444,0.77331,0.7517,0.97516,0.94685,0.95467,0.97849,0.78088,0.82641,0.54108,0.96825,0.000255731,0.000255731,0.000255731
72,156.643,0.75012,0.76678,0.96375,0.95095,0.95389,0.97712,0.75895,0.87293,0.5358,0.98845,0.000247484,0.000247484,0.000247484
